day,type,fact,source_link
1,year,"2008: 410 posts (~84,446 words, avg 205 words each).",
2,year,"2009: 366 posts (~93,597 words, avg 255 words each).",
3,year,"2010: 284 posts (~76,186 words, avg 268 words each).",
4,year,"2011: 317 posts (~70,508 words, avg 222 words each).",
5,year,"2012: 357 posts (~77,133 words, avg 216 words each).",
6,year,"2013: 260 posts (~59,789 words, avg 229 words each).",
7,year,"2014: 147 posts (~27,607 words, avg 187 words each).",
8,year,"2015: 168 posts (~49,277 words, avg 293 words each).",
9,year,"2016: 209 posts (~80,767 words, avg 386 words each).",
10,year,"2017: 184 posts (~70,425 words, avg 382 words each).",
11,year,"2018: 266 posts (~125,938 words, avg 473 words each).",
12,year,"2019: 288 posts (~128,358 words, avg 445 words each).",
13,year,"2020: 288 posts (~129,913 words, avg 451 words each).",
14,year,"2021: 341 posts (~153,769 words, avg 450 words each).",
15,year,"2022: 362 posts (~172,317 words, avg 476 words each).",
16,year,"2023: 395 posts (~171,900 words, avg 435 words each).",
17,year,"2024: 248 posts (~101,848 words, avg 410 words each).",
18,year,"2025: 343 posts (~149,422 words, avg 435 words each).",
19,year,Busiest year: 2008 with 410 posts.,
20,year,Quietest year: 2014 with 147 posts.,
21,length,"Short & sharp: “Music recommendations” in Apr 28, 2009 packs 5 words.",https://www.johndcook.com/blog/2009/04/28/music-recommendations/
22,length,"Short & sharp: “Test post” in Mar 26, 2013 packs 7 words.",https://www.johndcook.com/blog/2013/03/26/test-post/
23,length,"Short & sharp: “Synchronizing metronomes” in Sep 07, 2011 packs 7 words.",https://www.johndcook.com/blog/2011/09/07/synchronizing-metronomes/
24,length,"Short & sharp: “New prime number record” in Jan 19, 2016 packs 9 words.",https://www.johndcook.com/blog/2016/01/19/new-prime-number-record/
25,length,"Short & sharp: “PowerShell A-Z series completed” in Feb 10, 2009 packs 9 words.",https://www.johndcook.com/blog/2009/02/10/powershell-a-z-series-completed/
26,length,"Short & sharp: “Introduction to computer virtualization” in Jan 07, 2009 packs 10 words.",https://www.johndcook.com/blog/2009/01/07/introduction-to-computer-virtualization/
27,length,"Short & sharp: “Simple interpolation” in Sep 11, 2008 packs 11 words.",https://www.johndcook.com/blog/2008/09/11/simple-interpolation/
28,length,"Short & sharp: “Technology hype curve” in Jun 13, 2012 packs 12 words.",https://www.johndcook.com/blog/2012/06/13/technology-hype-curve/
29,length,"Short & sharp: “Getting started with SciPy (Scientific Python)” in Jul 23, 2009 packs 12 words.",https://www.johndcook.com/blog/2009/07/23/getting-started-with-scipy-scientific-python/
30,length,"Short & sharp: “51st Carnival of Mathematics posted” in Apr 24, 2009 packs 13 words.",https://www.johndcook.com/blog/2009/04/24/51st-carnival-of-mathematics-posted/
31,length,"Deep dive: “Interview with Sir Michael Atiyah” (Sep 24, 2013) runs 1926 words.",https://www.johndcook.com/blog/2013/09/24/interview-with-sir-michael-atiyah/
32,length,"Deep dive: “Applied topology and Dante: an interview with Robert Ghrist” (Sep 13, 2010) runs 1814 words.",https://www.johndcook.com/blog/2010/09/13/applied-topology-and-dante-an-interview-with-robert-ghrist/
33,length,"Deep dive: “Hallucinations of AI Science Models” (Mar 26, 2024) runs 1710 words.",https://www.johndcook.com/blog/2024/03/26/hallucinations-of-ai-science-models/
34,length,"Deep dive: “Field of order 9” (Sep 21, 2022) runs 1695 words.",https://www.johndcook.com/blog/2022/09/21/field-of-order-9/
35,length,"Deep dive: “Writing down an unwritten language” (Feb 24, 2014) runs 1601 words.",https://www.johndcook.com/blog/2014/02/24/creating-a-writing-system/
36,length,"Deep dive: “Interview with author Cliff Pickover” (Aug 30, 2009) runs 1594 words.",https://www.johndcook.com/blog/2009/08/30/interview-with-author-cliff-pickover/
37,length,"Deep dive: “Anatomy of a posit number” (Apr 11, 2018) runs 1575 words.",https://www.johndcook.com/blog/2018/04/11/anatomy-of-a-posit-number/
38,length,"Deep dive: “Solving for Möbius transformation coefficients” (Mar 28, 2021) runs 1456 words.",https://www.johndcook.com/blog/2021/03/28/mobius-coefficients/
39,length,"Deep dive: “Two-sample t-test and robustness” (May 11, 2018) runs 1429 words.",https://www.johndcook.com/blog/2018/05/11/two-sample-t-test/
40,length,"Deep dive: “Probability that a number is prime” (Oct 06, 2010) runs 1390 words.",https://www.johndcook.com/blog/2010/10/06/probability-a-number-is-prime/
41,length,Typical post: median 312 words vs average 348.,
42,length,"Total payload: 1,823,200 words across 5233 posts.",
43,category,"Category “Math” shows up 2378 times, averaging 425 words per post.",
44,category,"Category “Uncategorized” shows up 996 times, averaging 241 words per post.",
45,category,"Category “Computing” shows up 520 times, averaging 418 words per post.",
46,category,"Category “Software development” shows up 446 times, averaging 298 words per post.",
47,category,"Category “Statistics” shows up 418 times, averaging 345 words per post.",
48,category,"Category “Science” shows up 231 times, averaging 282 words per post.",
49,category,"Category “Business” shows up 206 times, averaging 266 words per post.",
50,category,"Category “Python” shows up 177 times, averaging 388 words per post.",
51,category,"Category “Creativity” shows up 161 times, averaging 205 words per post.",
52,category,"Category “Music” shows up 85 times, averaging 310 words per post.",
53,category,"Category “Clinical trials” shows up 55 times, averaging 309 words per post.",
54,category,"Category “Typography” shows up 50 times, averaging 296 words per post.",
55,tag,"Tag “Probability and Statistics”: 554 posts, avg 380 words.",
56,tag,"Tag “Math”: 498 posts, avg 343 words.",
57,tag,"Tag “Programming”: 342 posts, avg 281 words.",
58,tag,"Tag “Number theory”: 288 posts, avg 441 words.",
59,tag,"Tag “Python”: 207 posts, avg 418 words.",
60,tag,"Tag “Books”: 153 posts, avg 232 words.",
61,tag,"Tag “Special functions”: 140 posts, avg 461 words.",
62,tag,"Tag “Differential equations”: 134 posts, avg 454 words.",
63,tag,"Tag “Cryptography”: 128 posts, avg 533 words.",
64,tag,"Tag “Creativity”: 127 posts, avg 187 words.",
65,tag,"Tag “Productivity”: 123 posts, avg 299 words.",
66,tag,"Tag “Science”: 123 posts, avg 220 words.",
67,tag,"Tag “Geometry”: 110 posts, avg 431 words.",
68,tag,"Tag “Privacy”: 104 posts, avg 427 words.",
69,tag,"Tag “Bayesian”: 100 posts, avg 382 words.",
70,tag,"Tag “Complex analysis”: 92 posts, avg 449 words.",
71,tag,"Tag “SciPy”: 80 posts, avg 450 words.",
72,tag,"Tag “Numerical analysis”: 77 posts, avg 583 words.",
73,tag,"Tag “Mathematica”: 74 posts, avg 452 words.",
74,tag,"Tag “Unicode”: 72 posts, avg 392 words.",
75,weekday,Busiest weekday: Tuesday with 1003 posts; quietest: Sunday with 466.,
76,weekday,Thursdays host 823 posts on the blog.,
77,weekday,Wednesdays host 938 posts on the blog.,
78,weekday,Mondays host 887 posts on the blog.,
79,weekday,Tuesdays host 1003 posts on the blog.,
80,weekday,Sundays host 466 posts on the blog.,
81,weekday,Saturdays host 555 posts on the blog.,
82,weekday,Fridays host 561 posts on the blog.,
83,month,October 2022 was busy with 53 posts.,
84,month,November 2022 was busy with 51 posts.,
85,month,July 2023 was busy with 50 posts.,
86,month,August 2025 was busy with 46 posts.,
87,month,May 2025 was busy with 46 posts.,
88,gap,"Longest pause: 11 days between “Making change” (Jul 09, 2014) and “Bringing bash and PowerShell a little closer together” (Jul 21, 2014).",https://www.johndcook.com/blog/2014/07/09/making-change/
89,on-this-day,"On Jan 01: “Turning the Golay problem sideways” (864 words, 2022).",https://www.johndcook.com/blog/2022/01/01/turning-the-golay-problem-sideways/
90,on-this-day,"On Jan 02: “Unicode Steganography” (699 words, 2025).",https://www.johndcook.com/blog/2025/01/02/unicode-stegonography/
91,on-this-day,"On Jan 03: “Pratt Primality Certificates” (927 words, 2023).",https://www.johndcook.com/blog/2023/01/03/pratt-certificate/
92,on-this-day,"On Jan 04: “Cover time of a graph: cliques, chains, and lollipops” (587 words, 2017).",https://www.johndcook.com/blog/2017/01/04/cover-time-of-a-graph-cliques-chains-and-lollipops/
93,on-this-day,"On Jan 05: “Bootstrapping a minimal math library” (569 words, 2021).",https://www.johndcook.com/blog/2021/01/05/bootstrapping-math-library/
94,on-this-day,"On Jan 06: “Quaternion square roots” (735 words, 2021).",https://www.johndcook.com/blog/2021/01/06/quaternion-square-roots/
95,on-this-day,"On Jan 07: “Can AI models reason like a human?” (815 words, 2025).",https://www.johndcook.com/blog/2025/01/07/can-ai-models-reason-like-a-human/
96,on-this-day,"On Jan 08: “Various kinds of pseudoprimes” (615 words, 2020).",https://www.johndcook.com/blog/2020/01/08/euler-pseudoprimes/
97,on-this-day,"On Jan 09: “Beatty&#8217;s theorem” (714 words, 2022).",https://www.johndcook.com/blog/2022/01/09/beattys-theorem/
98,on-this-day,"On Jan 10: “Probability of secure hash collisions” (972 words, 2017).",https://www.johndcook.com/blog/2017/01/10/probability-of-secure-hash-collisions/
99,on-this-day,"On Jan 11: “Logistic bifurcation diagram in detail” (852 words, 2020).",https://www.johndcook.com/blog/2020/01/11/logistic-bifurcation-diagram/
100,on-this-day,"On Jan 12: “Safe primes, Sylow theorems, and Cryptography” (581 words, 2017).",https://www.johndcook.com/blog/2017/01/12/safe-primes-sylow-theorems-and-cryptography/
101,on-this-day,"On Jan 13: “Elliptic curve primality certificates” (758 words, 2023).",https://www.johndcook.com/blog/2023/01/13/ecpp/
102,on-this-day,"On Jan 14: “Discrete Taylor series” (575 words, 2025).",https://www.johndcook.com/blog/2025/01/14/discrete-taylor-series/
103,on-this-day,"On Jan 15: “Literate programming and statistics” (645 words, 2008).",https://www.johndcook.com/blog/2008/01/15/literate-programming-and-statistics/
104,on-this-day,"On Jan 16: “Dimensional analysis for gamma function values” (621 words, 2025).",https://www.johndcook.com/blog/2025/01/16/gamma-dimensional-analysis/
105,on-this-day,"On Jan 17: “Stable and unstable recurrence relations” (820 words, 2020).",https://www.johndcook.com/blog/2020/01/17/stable-recurrence-relations/
106,on-this-day,"On Jan 18: “An unexpected triangle” (556 words, 2025).",https://www.johndcook.com/blog/2025/01/18/sonine/
107,on-this-day,"On Jan 19: “GDPR and the right to be forgotten” (738 words, 2018).",https://www.johndcook.com/blog/2018/01/19/gdpr-and-the-right-to-be-forgotten/
108,on-this-day,"On Jan 20: “Glasser&#8217;s function” (658 words, 2022).",https://www.johndcook.com/blog/2022/01/20/glassers-function/
109,on-this-day,"On Jan 21: “Modal Logic and Science Fiction” (586 words, 2022).",https://www.johndcook.com/blog/2022/01/21/modal-logic-and-sf/
110,on-this-day,"On Jan 22: “Modal axioms and rules for interplanetary travel” (908 words, 2022).",https://www.johndcook.com/blog/2022/01/22/modal-axiom-cube/
111,on-this-day,"On Jan 23: “Probability distributions and object oriented programming” (947 words, 2009).",https://www.johndcook.com/blog/2009/01/23/probability-distributions-and-object-oriented-programming/
112,on-this-day,"On Jan 24: “Dual axioms in modal logic” (660 words, 2022).",https://www.johndcook.com/blog/2022/01/24/dual-axioms-in-modal-logic/
113,on-this-day,"On Jan 25: “Permutations at the command line” (824 words, 2022).",https://www.johndcook.com/blog/2022/01/25/permutations-and-tr/
114,on-this-day,"On Jan 26: “A general theory of sub-things” (813 words, 2022).",https://www.johndcook.com/blog/2022/01/26/a-general-theory-of-sub-things/
115,on-this-day,"On Jan 27: “Next areas of math to be applied” (694 words, 2016).",https://www.johndcook.com/blog/2016/01/27/next-areas-of-math-to-be-applied/
116,on-this-day,"On Jan 28: “Mental math trick and deeper issues” (532 words, 2022).",https://www.johndcook.com/blog/2022/01/28/kilometers-to-miles/
117,on-this-day,"On Jan 29: “Regex to match SWIFT-BIC codes” (717 words, 2024).",https://www.johndcook.com/blog/2024/01/29/swift/
118,on-this-day,"On Jan 30: “Python triple quote strings and regular expressions” (867 words, 2021).",https://www.johndcook.com/blog/2021/01/30/python-triple-quote-regex/
119,on-this-day,"On Jan 31: “Parameters and percentiles” (559 words, 2010).",https://www.johndcook.com/blog/2010/01/31/parameters-from-percentiles/
120,on-this-day,"On Feb 01: “Non-associative multiplication” (1028 words, 2022).",https://www.johndcook.com/blog/2022/02/01/non-associative/
121,on-this-day,"On Feb 02: “Stiff differential equations” (1066 words, 2020).",https://www.johndcook.com/blog/2020/02/02/stiff-differential-equations/
122,on-this-day,"On Feb 03: “Fibonacci numbers and hyperbolic sine” (1114 words, 2021).",https://www.johndcook.com/blog/2021/02/03/askey-fibonacci/
123,on-this-day,"On Feb 04: “A closer look at zero spacing” (930 words, 2022).",https://www.johndcook.com/blog/2022/02/04/zero-spacing/
124,on-this-day,"On Feb 05: “Data-driven charity” (1132 words, 2017).",https://www.johndcook.com/blog/2017/02/05/data-driven-charity/
125,on-this-day,"On Feb 06: “Is Low Precision Arithmetic Safe?” (897 words, 2024).",https://www.johndcook.com/blog/2024/02/06/is-low-precision-arithmetic-safe/
126,on-this-day,"On Feb 07: “Self-orthogonal vectors and coding” (641 words, 2022).",https://www.johndcook.com/blog/2022/02/07/self-orthogonal-vectors-and-coding/
127,on-this-day,"On Feb 08: “Why Food for the Hungry runs Ubuntu” (868 words, 2011).",https://www.johndcook.com/blog/2011/02/08/why-food-for-the-hungry-runs-ubuntu/
128,on-this-day,"On Feb 09: “Running Python and R inside Emacs” (474 words, 2012).",https://www.johndcook.com/blog/2012/02/09/python-org-mode/
129,on-this-day,"On Feb 10: “Maximum principle and approximating boundary value problems” (796 words, 2016).",https://www.johndcook.com/blog/2016/02/10/maximum-principle-and-approximating-boundary-value-problems/
130,on-this-day,"On Feb 11: “Trig functions across programming languages” (1203 words, 2021).",https://www.johndcook.com/blog/2021/02/11/trig-across-languages/
131,on-this-day,"On Feb 12: “A Bayesian approach to pricing” (834 words, 2022).",https://www.johndcook.com/blog/2022/02/12/bayesian-pricing/
132,on-this-day,"On Feb 13: “Runge-Kutta methods and Butcher tableau” (1010 words, 2020).",https://www.johndcook.com/blog/2020/02/13/runge-kutta-methods/
133,on-this-day,"On Feb 14: “Entropy extractor used in μRNG” (572 words, 2019).",https://www.johndcook.com/blog/2019/02/14/entropy-extractor/
134,on-this-day,"On Feb 15: “Lobatto integration” (1045 words, 2020).",https://www.johndcook.com/blog/2020/02/15/gauss-lobatto-quadrature/
135,on-this-day,"On Feb 16: “Bell polynomials: partial, ordinary, and exponential” (717 words, 2018).",https://www.johndcook.com/blog/2018/02/16/bell-polynomials/
136,on-this-day,"On Feb 17: “Analyzing an FM signal” (702 words, 2016).",https://www.johndcook.com/blog/2016/02/17/analyzing-an-fm-signal/
137,on-this-day,"On Feb 18: “Trapezoid rule and Romberg integration” (1225 words, 2020).",https://www.johndcook.com/blog/2020/02/18/trapezoid-romberg/
138,on-this-day,"On Feb 19: “Addition on Curve1174” (1054 words, 2019).",https://www.johndcook.com/blog/2019/02/19/addition-on-curve1174/
139,on-this-day,"On Feb 20: “Microsoft replacing SHA-1” (733 words, 2019).",https://www.johndcook.com/blog/2019/02/20/microsoft-replacing-sha-1/
140,on-this-day,"On Feb 21: “What is an elliptic curve?” (788 words, 2019).",https://www.johndcook.com/blog/2019/02/21/what-is-an-elliptic-curve/
141,on-this-day,"On Feb 22: “ADFGVX cipher and Morse code separation” (1087 words, 2020).",https://www.johndcook.com/blog/2020/02/22/adfgvx/
142,on-this-day,"On Feb 23: “Graphs and square roots modulo a prime” (747 words, 2016).",https://www.johndcook.com/blog/2016/02/23/graphs-and-square-roots-modulo-a-prime/
143,on-this-day,"On Feb 24: “Writing down an unwritten language” (1601 words, 2014).",https://www.johndcook.com/blog/2014/02/24/creating-a-writing-system/
144,on-this-day,"On Feb 25: “Testing for primes less than a quintillion” (770 words, 2019).",https://www.johndcook.com/blog/2019/02/25/prime-test/
145,on-this-day,"On Feb 26: “Applications of (1−z)/(1+z)” (736 words, 2021).",https://www.johndcook.com/blog/2021/02/26/smith-transform/
146,on-this-day,"On Feb 27: “Playfair cipher” (983 words, 2023).",https://www.johndcook.com/blog/2023/02/27/playfair-cipher/
147,on-this-day,"On Feb 28: “Sharing secrets using polynomials” (694 words, 2019).",https://www.johndcook.com/blog/2019/02/28/secret-sharing/
148,on-this-day,"On Mar 01: “Varicode” (739 words, 2022).",https://www.johndcook.com/blog/2022/03/01/varicode/
149,on-this-day,"On Mar 02: “Bits of information in age, birthday, and birthdate” (590 words, 2018).",https://www.johndcook.com/blog/2018/03/02/bits-of-information-in-age-birthday-and-birthdate/
150,on-this-day,"On Mar 03: “John Conway&#8217;s mental factoring method and friends” (980 words, 2023).",https://www.johndcook.com/blog/2023/03/03/conway-factoring/
151,on-this-day,"On Mar 03: “Archiving data on paper” (772 words, 2024).",https://www.johndcook.com/blog/2024/03/03/archiving-data-on-paper/
152,on-this-day,"On Mar 04: “Approximating Earth as a sphere” (786 words, 2012).",https://www.johndcook.com/blog/2012/03/04/approximating-earth-as-a-sphere/
153,on-this-day,"On Mar 06: “Public key encryption based on squares and non squares” (1017 words, 2019).",https://www.johndcook.com/blog/2019/03/06/goldwasser-micali/
154,on-this-day,"On Mar 07: “The difference between tokens and words” (535 words, 2025).",https://www.johndcook.com/blog/2025/03/07/tokens-and-words/
155,on-this-day,"On Mar 07: “MDS codes” (912 words, 2020).",https://www.johndcook.com/blog/2020/03/07/mds-codes/
156,on-this-day,"On Mar 09: “How areas of math are connected” (845 words, 2017).",https://www.johndcook.com/blog/2017/03/09/how-areas-of-math-are-connected/
157,on-this-day,"On Mar 10: “Colossus versus El Capitan: A Tale of Two Supercomputers” (781 words, 2025).",https://www.johndcook.com/blog/2025/03/10/colossus-versus-el-capitan/
158,on-this-day,"On Mar 11: “All elliptic curves over fields of order 2 and 3” (1305 words, 2019).",https://www.johndcook.com/blog/2019/03/11/elliptic-curves-gf2-gf3/
159,on-this-day,"On Mar 12: “The coupon collector problem and π” (526 words, 2023).",https://www.johndcook.com/blog/2023/03/12/coupon-collector/
160,on-this-day,"On Mar 13: “Frequency shift keying (FSK) spectrum” (728 words, 2022).",https://www.johndcook.com/blog/2022/03/13/fsk-spectrum/
161,on-this-day,"On Mar 14: “Computing the nth digit of π directly” (895 words, 2025).",https://www.johndcook.com/blog/2025/03/14/bbp/
162,on-this-day,"On Mar 15: “Typesetting music with LilyPond” (612 words, 2009).",https://www.johndcook.com/blog/2009/03/15/typesetting-music-in-latex-and-lilypond/
163,on-this-day,"On Mar 16: “Emacs” (794 words, 2010).",https://www.johndcook.com/blog/2010/03/16/emacs/
164,on-this-day,"On Mar 17: “Lessons Learned With the Z3 SAT/SMT Solver” (876 words, 2025).",https://www.johndcook.com/blog/2025/03/17/lessons-learned-with-the-z3-sat-smt-solver/
165,on-this-day,"On Mar 18: “Support of a signal and its FFT” (693 words, 2021).",https://www.johndcook.com/blog/2021/03/18/support-of-a-signal-and-its-fft/
166,on-this-day,"On Mar 19: “Interview with Sacha Chua” (1243 words, 2013).",https://www.johndcook.com/blog/2013/03/19/interview-with-sacha-chua/
167,on-this-day,"On Mar 20: “Computing Fourier series coefficients with the FFT” (890 words, 2021).",https://www.johndcook.com/blog/2021/03/20/fourier-series-fft/
168,on-this-day,"On Mar 21: “Simple trig function approximations” (498 words, 2021).",https://www.johndcook.com/blog/2021/03/21/simple-trig-approx/
169,symbol,Posts with “π”: 9.,
170,symbol,Posts with “φ”: 0.,
171,symbol,Posts with “Φ”: 0.,
172,symbol,Posts with “∞”: 0.,
173,milestone,"First post: “Moore&#8217;s law and software bloat” on Jan 09, 2008.",https://www.johndcook.com/blog/2008/01/09/moores-law-and-software-bloat/
174,milestone,"Latest post: “Equal things that don&#8217;t look equal” on Nov 27, 2025.",https://www.johndcook.com/blog/2025/11/27/hyperbolic-metric-formulas/
175,feature,"Heavyweight: “Interview with Sir Michael Atiyah” (1926 words, Sep 24, 2013).",https://www.johndcook.com/blog/2013/09/24/interview-with-sir-michael-atiyah/
176,feature,"Heavyweight: “Applied topology and Dante: an interview with Robert Ghrist” (1814 words, Sep 13, 2010).",https://www.johndcook.com/blog/2010/09/13/applied-topology-and-dante-an-interview-with-robert-ghrist/
177,feature,"Heavyweight: “Hallucinations of AI Science Models” (1710 words, Mar 26, 2024).",https://www.johndcook.com/blog/2024/03/26/hallucinations-of-ai-science-models/
178,feature,"Heavyweight: “Field of order 9” (1695 words, Sep 21, 2022).",https://www.johndcook.com/blog/2022/09/21/field-of-order-9/
179,feature,"Heavyweight: “Writing down an unwritten language” (1601 words, Feb 24, 2014).",https://www.johndcook.com/blog/2014/02/24/creating-a-writing-system/
180,feature,"Heavyweight: “Interview with author Cliff Pickover” (1594 words, Aug 30, 2009).",https://www.johndcook.com/blog/2009/08/30/interview-with-author-cliff-pickover/
181,feature,"Heavyweight: “Anatomy of a posit number” (1575 words, Apr 11, 2018).",https://www.johndcook.com/blog/2018/04/11/anatomy-of-a-posit-number/
182,feature,"Heavyweight: “Solving for Möbius transformation coefficients” (1456 words, Mar 28, 2021).",https://www.johndcook.com/blog/2021/03/28/mobius-coefficients/
183,feature,"Heavyweight: “Two-sample t-test and robustness” (1429 words, May 11, 2018).",https://www.johndcook.com/blog/2018/05/11/two-sample-t-test/
184,feature,"Heavyweight: “Probability that a number is prime” (1390 words, Oct 06, 2010).",https://www.johndcook.com/blog/2010/10/06/probability-a-number-is-prime/
185,feature,"Heavyweight: “Orders of finite simple groups” (1377 words, Sep 02, 2018).",https://www.johndcook.com/blog/2018/09/02/orders-of-finite-simple-groups/
186,feature,"Heavyweight: “A gentle introduction to Hamming codes” (1376 words, Feb 24, 2020).",https://www.johndcook.com/blog/2020/02/24/hamming-codes/
187,feature,"Heavyweight: “Hom functors and a glimpse of Yoneda” (1309 words, Aug 06, 2018).",https://www.johndcook.com/blog/2018/08/06/hom-functors/
188,feature,"Heavyweight: “All elliptic curves over fields of order 2 and 3” (1305 words, Mar 11, 2019).",https://www.johndcook.com/blog/2019/03/11/elliptic-curves-gf2-gf3/
189,feature,"Heavyweight: “Anthony Scopatz on xonsh and shells in general” (1282 words, Nov 15, 2015).",https://www.johndcook.com/blog/2015/11/15/xonsh/
190,feature,"Heavyweight: “Solving Kepler&#8217;s equation with Newton&#8217;s method” (1277 words, Nov 01, 2022).",https://www.johndcook.com/blog/2022/11/01/kepler-newton/
191,feature,"Heavyweight: “Comparing trig functions and Jacobi functions” (1252 words, Oct 13, 2018).",https://www.johndcook.com/blog/2018/10/13/jacobi-trig-functions/
192,feature,"Heavyweight: “Categorical products” (1244 words, Mar 22, 2016).",https://www.johndcook.com/blog/2016/03/22/categorical-products/
193,feature,"Heavyweight: “Functional folds and conjugate models” (1243 words, Jun 01, 2016).",https://www.johndcook.com/blog/2016/06/01/functional-folds-and-conjugate-models/
194,feature,"Heavyweight: “Interview with Sacha Chua” (1243 words, Mar 19, 2013).",https://www.johndcook.com/blog/2013/03/19/interview-with-sacha-chua/
195,feature,"Heavyweight: “Evaluating weather forecast accuracy: an interview with Eric Floehr” (1241 words, Apr 12, 2011).",https://www.johndcook.com/blog/2011/04/12/weather-forecast-accuracy/
196,feature,"Heavyweight: “Finite simple group example: PSL(q)” (1227 words, Sep 08, 2018).",https://www.johndcook.com/blog/2018/09/08/projective-special-linear/
197,feature,"Heavyweight: “Four views of multisets” (1225 words, Oct 26, 2022).",https://www.johndcook.com/blog/2022/10/26/multisets/
198,feature,"Heavyweight: “Trapezoid rule and Romberg integration” (1225 words, Feb 18, 2020).",https://www.johndcook.com/blog/2020/02/18/trapezoid-romberg/
199,feature,"Heavyweight: “When a cubic or quartic has a double root” (1210 words, Nov 16, 2022).",https://www.johndcook.com/blog/2022/11/16/cubic-quartic-double-root/
200,feature,"Heavyweight: “Why do LLMs have emergent properties?” (1207 words, May 08, 2025).",https://www.johndcook.com/blog/2025/05/08/why-do-llms-have-emergent-properties/
201,feature,"Heavyweight: “Prime remainders too evenly distributed” (1206 words, Jun 08, 2016).",https://www.johndcook.com/blog/2016/06/08/prime-remainders-too-evenly-distributed/
202,feature,"Heavyweight: “Trig functions across programming languages” (1203 words, Feb 11, 2021).",https://www.johndcook.com/blog/2021/02/11/trig-across-languages/
203,feature,"Heavyweight: “Maidenhead geocode system” (1190 words, May 30, 2021).",https://www.johndcook.com/blog/2021/05/30/maidenhead-geocode-system/
204,feature,"Heavyweight: “Transpose and Adjoint” (1183 words, Apr 27, 2025).",https://www.johndcook.com/blog/2025/04/27/transpose-vs-adjoint/
205,feature,"Heavyweight: “How many ways to make rock, paper, scissors, lizard, Spock?” (1172 words, Aug 07, 2018).",https://www.johndcook.com/blog/2018/08/07/rock-paper-scissors-lizard-spock/
